Host,Name,IP,Groups,Tags
PE-MAQ-COP-SW-02,PE-MAQ-COP-SW-02,10.255.21.250,PE-MAQ-COP,
PE-MAQ-COP-SW-05,PE-MAQ-COP-SW-05,10.255.21.243,PE-MAQ-COP,Switch:SW_COP_RACK2_MPA
PE-MAQ-COP-SW-04,PE-MAQ-COP-SW-04,10.255.21.242,PE-MAQ-COP,Switch:SW_COP_RACK1_MPA
PE-MAQ-COP-SW-06,PE-MAQ-COP-SW-06,10.255.21.244,PE-MAQ-COP,Switch:SW_COP_RACK3_MPA
PE-MAQ-COP-SW-07,PE-MAQ-COP-SW-07,10.255.21.245,PE-MAQ-COP,Switch:SW_COP_RACK4_MPA
PE-MAQ-COP-SW-CORE-02,PE-MAQ-COP-SW-CORE-02,10.255.21.253,PE-MAQ-COP,
PE-MAQ-COP-SW-09,PE-MAQ-COP-SW-09,10.255.21.247,PE-MAQ-COP,Switch:SW_COP_RACK6_MPA
PE-MAQ-COP-SW-08,PE-MAQ-COP-SW-08,10.255.21.246,PE-MAQ-COP,Switch:SW_COP_RACK5_MPA
PE-MAQ-COP-SW-CORE-01,PE-MAQ-COP-SW-CORE-01,10.224.47.249,PE-MAQ-COP,
PE-MCO-COP-SW-09,PE-MCO-COP-SW-09,10.255.33.243,PE-MCO-COP,Switch:SW-S01-B1-01
PE-MCO-COP-SW-24,PE-MCO-COP-SW-24,10.255.33.228,PE-MCO-COP,Switch:SW-S02-B2-04
PE-MCO-COP-SW-18,PE-MCO-COP-SW-18,10.255.33.234,PE-MCO-COP,Switch:SW-P01-B2-04
PE-MCO-COP-SW-40,PE-MCO-COP-SW-40,10.255.33.212,PE-MCO-COP,Switch:SW-P02-B2-05
PE-MCO-COP-SW-19,PE-MCO-COP-SW-19,10.255.33.233,PE-MCO-COP,Switch:SW-P01-B2-05
PE-MCO-COP-SW-20,PE-MCO-COP-SW-20,10.255.33.232,PE-MCO-COP,Switch:SW-S02-B2-01
PE-MCO-COP-SW-25,PE-MCO-COP-SW-25,10.255.33.227,PE-MCO-COP,Switch:SW-S02-B2-05
PE-MCO-COP-SW-27,PE-MCO-COP-SW-27,10.255.33.225,PE-MCO-COP,Switch:SW-S03-B2-04
PE-MCO-COP-SW-30,PE-MCO-COP-SW-30,10.255.33.222,PE-MCO-COP,Switch:SW-S03-B2-03
PE-MCO-COP-SW-32,PE-MCO-COP-SW-32,10.255.33.220,PE-MCO-COP,Switch:SW-P03-B2-01
PE-MCO-COP-SW-23,PE-MCO-COP-SW-23,10.255.33.229,PE-MCO-COP,Switch:SW-S02-B2-03
PE-MCO-COP-SW-26,PE-MCO-COP-SW-26,10.255.33.226,PE-MCO-COP,Switch:SW-S01-B2-01
PE-MCO-COP-SW-31,PE-MCO-COP-SW-31,10.255.33.221,PE-MCO-COP,Switch:SW-S03-B2-01
PE-MCO-COP-SW-29,PE-MCO-COP-SW-29,10.255.33.223,PE-MCO-COP,Switch:SW-S03-B2-05
PE-MCO-COP-SW-39,PE-MCO-COP-SW-39,10.255.33.213,PE-MCO-COP,Switch:SW-P02-B2-02
PE-OPPIU-SW 01,PE-OPPIU-SW 01,10.232.50.8,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-24P-4X"
PE-OPLAM-SW CORE,PE-OPLAM-SW CORE,10.235.50.1,"switch, PE-OPLAM","marca:cisco, modelo:C9300L-48P-4X"
CL-PEG-COP-SW-34,CL-PEG-COP-SW-34,10.150.35.253,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960X-24PS-L"
CL-PEG-COP-SW-8,CL-PEG-COP-SW-8,10.150.123.9,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, modelo:ICX7150-C12-POE, marca:ruckus"
CL-PEG-TI-SW-01,CL-PEG-TI-SW-01,10.21.2.253,"CL-PEG-TI, TI-SW","marca:cisco, modelo:WS-C2960-24PC-L"
PE-MAQ-COP-SW-12,PE-MAQ-COP-SW-12,10.255.21.252,PE-MAQ-COP,"marca:cisco, modelo:C9200L-24P-4G, Switch:MAQ-SW2-Mercado"
PE-OPANG-SW-CORE-01,PE-OPANG-SW-CORE-01,10.231.50.1,"switch, PE-OPANG","marca:cisco, modelo:C9300-24P"
PE-MCO-COP-SW-01,PE-MCO-COP-SW-01,10.255.33.251,PE-MCO-COP,
PE-MCO-COP-SW-05,PE-MCO-COP-SW-05,10.255.33.247,PE-MCO-COP,Switch:SW-S01-B1-03
PE-MCO-COP-SW-02,PE-MCO-COP-SW-02,10.255.33.250,PE-MCO-COP,
PE-MCO-COP-SW-03,PE-MCO-COP-SW-03,10.255.33.249,PE-MCO-COP,
PE-MCO-COP-SW-07,PE-MCO-COP-SW-07,10.255.33.245,PE-MCO-COP,Switch:SW-P02-B1-01
PE-MCO-COP-SW-04,PE-MCO-COP-SW-04,10.255.33.248,PE-MCO-COP,
PE-MCO-COP-SW-06,PE-MCO-COP-SW-06,10.255.33.246,PE-MCO-COP,Switch:SW-S01-B1-02
PE-MCO-COP-SW-08,PE-MCO-COP-SW-08,10.255.33.244,PE-MCO-COP,Switch:SW.P01-B1-01
PE-MCO-COP-SW-22,PE-MCO-COP-SW-22,10.255.33.230,PE-MCO-COP,Switch:SW-S02-B2-02
PE-MCO-COP-SW-21,PE-MCO-COP-SW-21,10.255.33.231,PE-MCO-COP,Switch:SW-S01-B2-02
PE-MCO-COP-SW-38,PE-MCO-COP-SW-38,10.255.33.214,PE-MCO-COP,Switch:SW-P02-B2-01
PE-OPANG-SW-20,PE-OPANG-SW-20,10.231.50.20,"switch, PE-OPANG","marca:ciso, modelo:C9200l-48p-4x"
PE-OPANG-SW-21,PE-OPANG-SW-21,10.231.50.21,"switch, PE-OPANG","marca:cisco, modelo:C9200l-48p-4x"
PE-OPANG-SW-23,PE-OPANG-SW-23,10.231.50.23,"switch, PE-OPANG","marca:cisco, modelo:C9200l-48p-4x"
PE-OPPIU-SW 03,PE-OPPIU-SW 03,10.232.50.4,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-24P-4X"
PE-OPPIU-SW 06,PE-OPPIU-SW 06,10.232.50.7,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-24P-4X"
PE-MCO-TI-SW-01,PE-MCO-TI-SW-01,10.226.50.2,"PE-MCO-TI, switch","marca:cisco, modelo:C9200L-48P-4G"
CL-PEG-COP-SW-13,CL-PEG-COP-SW-13,10.150.35.235,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-36,CL-PEG-COP-SW-36,10.150.123.254,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960X-24PS-L"
PE-OPANG-SW-18,PE-OPANG-SW-18,10.231.50.18,"switch, PE-OPANG","marca:cisco, modelo:C9200l-48p-4x"
PE-OPANG-SW-22,PE-OPANG-SW-22,10.231.50.22,"switch, PE-OPANG","marca:cisco, modelo:C9200L-48p-4X"
PE-OPANG-SW-24,PE-OPANG-SW-24,10.231.50.24,switch,"marca:cisco, modelo:C9200l-24p-4x"
PE-OPPIU-SW 07,PE-OPPIU-SW 07,10.232.50.9,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-48P-4X"
PE-OPPIU-SW 08,PE-OPPIU-SW 08,10.232.50.10,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-48P-4X"
PE-OPPIU-SW 09,PE-OPPIU-SW 09,10.232.50.11,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-48P-4X"
CL-PEG-COP-SW-CORE-01,CL-PEG-COP-SW-CORE-01,10.150.36.1,"CL-PEG-COP, switch, TI-SW, CL-SW-CORE","modelo:S6730-H48X6C, marca:huawei"
PE-CM-TI-SW-01,PE-CM-TI-SW-01,10.231.50.2,"PE-CM-TI, switch","marca:cisco, modelo:C9200L-48T-4X"
PE-OPHYO-SW 07,PE-OPHYO-SW 07,10.233.50.10,"switch, PE-OPHYO","marca:cisco, modelo:C9200L-48P-4X"
PE-OPATO- SW ADM,PE-OPATO- SW ADM,10.234.50.2,"switch, PE-OPATO","marca:cisco, modelo:C9300L-48P-4X"
PE-CM-TI-SW-02,PE-CM-TI-SW-02,10.231.50.4,"PE-CM-TI, switch","marca:cisco, modelo:C9200L-48P-4X"
PE-OPHYO-SW 08,PE-OPHYO-SW 08,10.233.50.11,"switch, PE-OPHYO","marca:cisco, modelo:C9200L-48P-4X"
PE-PBE-COP-SW-15,PE-PBE-COP-SW-15,10.255.1.237,PE-MBV-COP,Switch:SW_COP_MPB_Z9_Bubble
PE-OPHYO-SW ADM,PE-OPHYO-SW ADM,10.233.50.2,"switch, PE-OPHYO","marca:cisco, modelo:C9300L-48P-4X"
PE-MCO-COP-SW-13,PE-MCO-COP-SW-13,10.255.33.239,PE-MCO-COP,Switch:sw-p02-b2-04
PE-MCO-COP-SW-15,PE-MCO-COP-SW-15,10.255.33.237,PE-MCO-COP,Switch:SW-P01-B2-02
PE-MCO-COP-SW-10,PE-MCO-COP-SW-10,10.255.33.242,PE-MCO-COP,Switch:SW-S01-B1-04
PE-MCO-COP-SW-11,PE-MCO-COP-SW-11,10.255.33.241,PE-MCO-COP,Switch:SW-P02-B1-02
PE-MCO-COP-SW-14,PE-MCO-COP-SW-14,10.255.33.238,PE-MCO-COP,Switch:SW-P01-B2-01
PE-MCO-COP-SW-17,PE-MCO-COP-SW-17,10.255.33.235,PE-MCO-COP,Switch:SW-P01-B2-06
PE-MCO-COP-SW-12,PE-MCO-COP-SW-12,10.255.33.240,PE-MCO-COP,Switch:SW-P02-B2-03>
PE-MCO-COP-SW-16,PE-MCO-COP-SW-16,10.255.33.236,PE-MCO-COP,Switch:SW-P01-B2-03
PE-OPANG-TI-SW-01 Piso 5,PE-OPANG-TI-SW-01 Piso 5,10.231.50.3,"PE-CM-TI, switch","marca:cisco, modelo:C9200L-24P-4G"
PE-OPPIU-SW 05,PE-OPPIU-SW 05,10.232.50.6,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-24P-4X"
PE-OPATO-SW CORE,PE-OPATO-SW CORE,10.234.50.1,"switch, PE-OPATO","marca:cisco, modelo:C9300L-48P-4X"
PE-OPHYO-SW 02,PE-OPHYO-SW 02,10.233.50.3,"switch, PE-OPHYO","marca:cisco, modelo:9200L-24P-4X"
PE-MAQ-COP-SW-11,PE-MAQ-COP-SW-11,10.255.21.251,PE-MAQ-COP,"Switch:MAQ-SW1-Mercado, marca:cisco, modelo:C9200L-24P-4G"
PE-MBV-SW-CORE,PE-MBV-SW-CORE,10.225.50.1,"PE-MBV-TI, switch","marca:cisco, modelo:WS-C3850-24T"
PE-MCO-COP-SW-37,PE-MCO-COP-SW-37,10.255.33.215,PE-MCO-COP,Switch:SW-P12-B2-01
PE-MCO-COP-SW-CORE-01,PE-MCO-COP-SW-CORE-01,10.255.33.1,PE-MCO-COP,
PE-MCO-COP-SW-28,PE-MCO-COP-SW-28,10.255.33.224,PE-MCO-COP,Switch:SW-S03-B2-02
PE-MCO-COP-SW-35,PE-MCO-COP-SW-35,10.255.33.217,PE-MCO-COP,Switch:SW-P03-B2-03
PE-MAQ-SW-CORE,PE-MAQ-SW-CORE,10.224.50.1,"PE-MAQ-TI, switch","marca:cisco, modelo:WS-C3850-24T"
PE-MCO-COP-SW-34,PE-MCO-COP-SW-34,10.255.33.218,PE-MCO-COP,Switch:SW-P03-B2-02
PE-MCO-COP-SW-41,PE-MCO-COP-SW-41,10.255.33.211,PE-MCO-COP,Switch:SW-p02-B2-SCC-02
PE-MCO-COP-SW-33,PE-MCO-COP-SW-33,10.255.33.219,PE-MCO-COP,Switch:SW-P03-B2-04
PE-MCO-COP-SW-36,PE-MCO-COP-SW-36,10.255.33.216,PE-MCO-COP,Switch:SW-P04-B2-01
PE-OPHYO-SW 03,PE-OPHYO-SW 03,10.233.50.4,"switch, PE-OPHYO","marca:cisco, modelo:C9200L-24P-4X"
PE-PBE-COP-SW-12,PE-PBE-COP-SW-12,10.255.1.240,PE-MBV-COP,Switch:SW_COP_RACK6_MPB
PE-PBE-COP-SW-04,PE-PBE-COP-SW-04,10.255.1.248,PE-MBV-COP,Switch:SW_COP_RACK-14_MPB
PE-PBE-COP-SW-11,PE-PBE-COP-SW-11,10.255.1.241,PE-MBV-COP,Switch:SW_COP_RACK7_MPB
PE-PBE-COP-SW-10,PE-PBE-COP-SW-10,10.255.1.242,PE-MBV-COP,Switch:SW_COP_RACK8_MPB
PE-PBE-COP-SW-05,PE-PBE-COP-SW-05,10.255.1.247,PE-MBV-COP,Switch:SW_COP_RACK13_MPB
PE-PBE-COP-SW-08,PE-PBE-COP-SW-08,10.255.1.244,PE-MBV-COP,Switch:SW_COP_RACK_10_MPB
PE-OPHYO-SW 05,PE-OPHYO-SW 05,10.233.50.6,"switch, PE-OPHYO","marca:cisco, modelo:C9200L-24P-4X"
PE-MTR-SW-CORE,PE-MTR-SW-CORE,10.227.50.1,"PE-MTR-TI, switch","marca:cisco, modelo:WS-C3850-24T"
PE-PBE-COP-SW-09,PE-PBE-COP-SW-09,10.255.1.243,PE-MBV-COP,Switch:SW_COP_RACK9_MPB
PE-PBE-COP-SW-06,PE-PBE-COP-SW-06,10.255.1.246,PE-MBV-COP,Switch:SW_COP_RACK12_MPB
PE-PBE-COP-SW-07,PE-PBE-COP-SW-07,10.255.1.245,PE-MBV-COP,Switch:SW_COP_RACK11_MPB
PE-PBE-COP-SW-14,PE-PBE-COP-SW-14,10.255.1.238,PE-MBV-COP,Switch:SW-COP-MPB_Clinica
PE-PBE-COP-SW-16,PE-PBE-COP-SW-16,10.255.1.236,PE-MBV-COP,Switch:SW-COP-MPB-Happy_Land
PE-PBE-COP-SW-CORE-02,PE-PBE-COP-SW-CORE-02,10.255.1.252,PE-MBV-COP,
PE-OPPIU-SW 04,PE-OPPIU-SW 04,10.232.50.5,"switch, PE-OPPIU","marca:cisco, modelo:C9200L-24P-4X"
PE-OPPIU-SW-CORE,PE-OPPIU-SW-CORE,10.232.50.1,"switch, PE-OPPIU","marca:cisco, modelo:C9300L-48P-4X"
PE-OPPIU-SW ADM,PE-OPPIU-SW ADM,10.232.50.2,"switch, PE-OPPIU","marca:cisco, modelo:C9300L-48P-4X"
PE-CM-TI-SW-04,PE-CM-TI-SW-04,10.231.50.6,"PE-CM-TI, switch","marca:cisco, modelo:C9200L-24P-4G"
CL-PEG-COP-SW-4,CL-PEG-COP-SW-4,10.150.35.230,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960C-8PC-L"
CL-PEG-COP-SW-7,CL-PEG-COP-SW-7,10.150.35.243,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960L-8PS-LL"
PE-CM-TI-SW-03,PE-CM-TI-SW-03,10.231.50.5,"PE-CM-TI, switch","marca:cisco, modelo:C9200L-48P-4G"
CL-PEG-COP-SW-9,CL-PEG-COP-SW-9,10.150.36.15,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560X-24"
CL-PEG-COP-SW-10,CL-PEG-COP-SW-10,10.150.35.229,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
CL-PEG-COP-SW-16,CL-PEG-COP-SW-16,10.150.35.240,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
CL-PEG-COP-SW-2,CL-PEG-COP-SW-2,10.150.35.218,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560X-48P"
CL-PEG-COP-SW-35,CL-PEG-COP-SW-35,10.150.36.50,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960+24PC-L"
CL-PEG-COP-SW-12,CL-PEG-COP-SW-12,10.150.35.232,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-14,CL-PEG-COP-SW-14,10.150.35.239,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
CL-PEG-COP-SW-17,CL-PEG-COP-SW-17,10.150.35.242,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960+24PC-L"
CL-PEG-COP-SW-1,CL-PEG-COP-SW-1,10.150.35.110,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960+24PC-S"
CL-PEG-COP-SW-25,CL-PEG-COP-SW-25,10.150.35.244,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
CL-PEG-COP-SW-32,CL-PEG-COP-SW-32,10.150.35.237,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-3,CL-PEG-COP-SW-3,10.150.35.223,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960X-24PS-L"
CL-PEG-COP-SW-20,CL-PEG-COP-SW-20,10.150.35.221,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-5,CL-PEG-COP-SW-5,10.150.35.233,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-33,CL-PEG-COP-SW-33,10.150.35.219,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560X-48P"
CL-PEG-COP-SW-15,CL-PEG-COP-SW-15,10.150.35.241,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960+24PC-L"
CL-PEG-COP-SW-18,CL-PEG-COP-SW-18,10.150.35.225,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C3560C-8PC-S"
PE-PTJ-COP-SW-11,PE-PTJ-COP-SW-11,10.255.11.242,PE-PTJ-COP,"Switch:SistemasCCTV, marca:cisco, modelo:C9200L-48P-4X"
CL-PEG-COP-SW-19,CL-PEG-COP-SW-19,10.150.35.222,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-11,CL-PEG-COP-SW-11,10.150.35.231,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
PE-PTJ-COP-SW-02,PE-PTJ-COP-SW-02,10.255.11.252,PE-PTJ-COP,
PE-PTJ-COP-SW-03,PE-PTJ-COP-SW-03,10.255.11.251,PE-PTJ-COP,
PE-MTR-TI-SW-01,PE-MTR-TI-SW-01,10.227.50.2,"PE-MTR-TI, switch","marca:cisco, modelo:WS-C2960X-24PS-L"
PE-OPHYO-SW-CORE,PE-OPHYO-SW-CORE,10.233.50.1,"switch, PE-OPHYO","marca:cisco, modelo:C9300L-48P-4X"
CL-PEG-COP-SW-22,CL-PEG-COP-SW-22,10.150.35.227,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-28,CL-PEG-COP-SW-28,10.150.35.226,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-29,CL-PEG-COP-SW-29,10.150.35.249,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-31,CL-PEG-COP-SW-31,10.150.35.236,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-27,CL-PEG-COP-SW-27,10.150.35.224,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-30,CL-PEG-COP-SW-30,10.150.35.250,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-21,CL-PEG-COP-SW-21,10.150.35.228,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
CL-PEG-COP-SW-6,CL-PEG-COP-SW-6,10.150.35.234,"CL-PEG-COP, switch","componente:CL-PEG-COP-SW, filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960-24PC-S"
PE-SW-CORE-MSS-TI,PE-SW-CORE-MSS-TI,172.22.138.10,"PE-MCO-MSS-TI, switch",
